"","named_location","location","State","latitude","longitude","Year","planting_doy","harvest_doy","min_flow_50_doy","max_flow_50_doy","mu","sd","fp","fst","N","h","badfit","ofs","outside_data","mu_025","mu_975","mu_16","mu_84","AIC_gau","AIC_lm","mod_for_cens","beta1_lm","y2","y3","opt_relation_to_data","cens","y_na","county_state"
"56","Casselton_ASF","Casselton","ND",46.8871,-97.2305,"1990",141,274,198,209,213.585521168881,21.3343012774245,54.682014403767,186.244513966998,155679.337958495,2911.1368255715,FALSE,170.421399968606,"greater_than",204.566305948919,296.442726389498,205.816668490322,219.803023284132,748.2947,746.7499,"gauss",0.0218,205.816668490322,239,"opt_after","interval",213.585521168881,"Cass_ND"
"57","Casselton_ASF","Casselton","ND",46.8871,-97.2305,"1992",139,282,211,221,218.149439891529,15.5320420347577,39.8102255714965,198.244327105781,106032.384644892,2723.45395614906,FALSE,123.552732269131,"in_range",214.893979066381,240.810894555122,216.353734200141,220.978456409403,832.0012,832.3407,"gauss",0.0088,216.353734200141,220.978456409403,"opt_within","interval",218.149439891529,"Cass_ND"
"58","Casselton_ASF","Casselton","ND",46.8871,-97.2305,"1993",140,284,218,230,226.038514695314,16.3914167369632,42.0128915614983,205.032068914565,91787.0012378093,2233.95672092496,FALSE,128.745408811213,"in_range",220.762476220315,247.406705464394,224.038247382742,228.532573625832,955.3755,955.0301,"gauss",0.0059,224.038247382742,228.532573625832,"opt_within","interval",226.038514695314,"Cass_ND"
"59","Casselton_ASF","Casselton","ND",46.8871,-97.2305,"1994",137,284.375,199,213,202.683930709524,NA,NA,NA,NA,2107.9177662597,TRUE,0,"in_range",NA,NA,NA,NA,1549.1087,1549.0538,"linear",0.0125,213,249.375,"opt_after","interval",NA,"Cass_ND"
"60","Casselton_ASF","Casselton","ND",46.8871,-97.2305,"1995",138,285,207,218,212.432851738129,NA,NA,NA,NA,1638.96759837984,TRUE,0,"in_range",NA,NA,NA,NA,1394.9609,1399.6083,"exclude",0.0029,NA,NA,"unclear","interval",NA,"Cass_ND"
"61","Casselton_ASF","Casselton","ND",46.8871,-97.2305,"1996",143,281.571428571429,213,224,214.951702112656,12.5127910848066,32.0715740081329,198.91591510859,76246.00920653,2430.93300113486,FALSE,98.8179748759293,"in_range",188.820069317788,217.333721518472,211.154554299953,216.608535158512,1667.9499,1669.2652,"gauss",-0.0211,211.154554299953,216.608535158512,"opt_within","interval",214.951702112656,"Cass_ND"
"62","Casselton_ASF","Casselton","ND",46.8871,-97.2305,"1997",141,280.380952380952,206,219,234.564471634216,38.3212902474813,98.2214190206975,185.453762123867,226541.806813898,2358.40454308652,FALSE,302.048412226458,"greater_than",213.060046395632,335.815180239775,214.646709192521,231.177426187179,1543.4452,1541.4785,"gauss",0.0151,214.646709192521,245.380952380952,"opt_after","interval",234.564471634216,"Cass_ND"
"63","Casselton_ASF","Casselton","ND",46.8871,-97.2305,"1998",146,295.428571428571,212,224,220.584907643825,11.9722534179059,30.686120221628,205.241847533011,83822.8953389343,2793.16648663241,FALSE,95.3877218302725,"in_range",218.874807121925,232.448978513,219.52576309243,222.86398088115,1912.0177,1913.1887,"gauss",0.0168,219.52576309243,222.86398088115,"opt_within","interval",220.584907643825,"Cass_ND"
"64","Casselton_ASF","Casselton","ND",46.8871,-97.2305,"1999",146,285.458333333333,206,219,457.509399215535,224.609508948058,575.697335657174,169.660731386948,2693921.3465129,4784.83359958056,FALSE,1849.25596367006,"greater_than",208.811225324665,274.206320645845,213.113733413705,223.209812698791,1904.0642,1902.0643,"gauss",0.0048,213.113733413705,250.458333333333,"opt_after","interval",457.509399215535,"Cass_ND"
"65","Casselton_ASF","Casselton","ND",46.8871,-97.2305,"2000",143,290,212,220,223.533672124903,17.5840019078037,45.06961034697,200.998866951418,123182.219039615,2794.73328234591,FALSE,140.103712516416,"greater_than",217.225646036387,290.734918775064,218.167425412457,228.526479425983,871.4121,869.8925,"gauss",0.0235,218.167425412457,255,"opt_after","interval",223.533672124903,"Cass_ND"
